score,emotion,country,D
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
10,Happy,Australia,AU        
